ID;value;Manhattan
282;0;623.0320116430521
283;0;1092.9220444709063
284;1;518.5843438357115
285;0;1423.4445235282183
286;0;1034.4894359856844
287;1;744.0646902769804
288;1;881.1058890223503
289;0;864.2920478060842
290;0;927.4526450037956
291;0;595.6671563386917
292;0;286.104149967432
293;0;283.6982733309269
294;0;286.2828969210386
295;0;1602.2618264257908
296;0;1364.9527088291943
297;1;925.6731387972832
298;1;844.9341914653778
299;1;395.37839022278786
300;0;1337.2521801292896
301;0;383.9929452687502
302;0;933.6101104021072
303;0;613.8165849894285
304;0;603.7030735015869
305;0;1311.2543003559113
306;0;685.9092774540186
307;1;545.7744661718607
308;1;597.2612716406584
309;0;690.2828572690487
310;1;996.3074157610536
311;1;1628.0135854184628
312;1;730.067310243845
313;1;1185.6959251761436
314;1;1885.8691149605438
315;0;1028.3888611346483
316;1;672.1708946377039
317;1;921.2508093565702
318;1;1427.4258878827095
319;0;1457.8137959837914
320;0;676.873251080513
321;0;1975.2732477039099
322;0;542.9788122028112
323;0;528.4178472682834
324;0;863.3993807807565
325;0;1311.8375622108579
326;0;929.5831923484802
327;0;566.3457570970058
328;0;1149.2627276182175
329;0;1436.8342509418726
330;1;571.8257034122944
331;0;2806.360274851322
332;1;882.4103680253029
333;0;1628.9573888331652
334;0;537.2088994681835
335;0;471.7685355991125
336;0;1925.7654055282474
337;0;1078.1453322470188
338;0;1022.6413872689009
339;0;1336.1489588916302
340;0;1538.754574507475
341;1;1245.673007234931
342;1;876.0465166121721
343;1;746.0336454212666
344;0;254.26530811190605
345;0;284.68469358980656
346;0;534.5836442708969
347;0;301.8839416503906
348;0;1082.1365686953068
349;0;737.2972550094128
350;0;1510.0562131628394
351;0;1849.4938335046172
352;0;1704.0450665205717
353;1;1317.3801845908165
354;0;1310.1711794286966
355;0;2624.523305684328
356;0;1254.883921727538
357;0;1179.0472670048475
358;0;2070.866124972701
359;0;1258.0499046444893
360;0;314.01284262537956
361;0;811.8624745234847
362;1;1122.9859683513641
363;1;864.3562418967485
364;1;1517.2318333685398
365;1;1459.3098211735487
366;1;847.1190915256739
367;1;861.9019006043673
368;0;824.7624750286341
369;1;1511.1777787953615
370;1;900.4802366793156
