ID;value;MSE
556;1;4967.754104477612
557;1;5988.260254132269
558;1;5502.680838937183
559;1;1321.0405472636817
560;0;11707.332121899659
561;1;374.6101625571775
562;1;2569.72947943433
563;0;3311.0286566252985
564;0;2128.877922202176
565;0;1967.919890474368
566;0;1909.494449911614
567;1;1939.2700426439233
568;1;3169.679858491426
569;1;5782.771689628779
570;0;2470.052354527728
571;0;1779.232482732856
572;0;1476.8165126747217
573;0;2968.0582326462923
574;0;3510.620851785031
575;0;2539.809600349899
576;0;1139.6524615931332
577;0;378.8526529440709
578;1;4807.612426876606
579;0;4310.9193669928745
580;0;9323.770796657736
581;0;2484.6060949829607
582;0;1355.190781896379
583;1;833.7604277149053
584;0;2123.675239188672
585;0;1877.4398046398046
586;1;1799.2364714887103
587;0;2124.8104791974197
588;1;1728.319264939041
589;0;1326.3004824777213
590;0;3100.640019681811
591;0;1984.666985584896
592;0;2207.7380141417457
593;0;1472.162951724892
594;0;1868.4692553714942
595;0;3338.4157372478267
596;0;237.63249503398757
597;1;1966.950821897837
598;1;2982.6995384797624
599;1;5111.322240901719
600;1;1858.2169732837642
601;1;4772.14771426749
602;1;3404.469958813989
603;0;2585.3987106591585
604;0;3110.3734491462105
605;0;4387.75576194121
606;0;3829.4270706905036
607;0;2880.303016055255
608;0;3026.0084736573544
609;0;2852.939893025714
610;0;6527.509482350154
611;0;4115.922936599056
612;0;3147.654049350318
613;1;1163.1202882109599
614;1;2776.3576043773805
615;1;2140.945070435369
616;1;2178.1003152734497
617;1;1246.404383303264
618;1;1636.529429774206
619;1;4894.6263367229785
620;1;2422.5163003663006
621;1;1945.3372542051648
622;1;2364.6135412680187
623;1;1615.2512661053706
624;1;1775.7991894921
625;1;1118.3708782096842
626;1;1448.3344336012246
627;1;4177.139205073533
628;1;1955.5753754123157
629;1;3938.8599743954223
630;1;1770.4151299363987
631;1;3445.5379544584766
632;1;2831.088980008383
633;1;2191.385776702568
634;1;3090.931358773896
635;1;1153.5855662165363
636;1;3938.8599743954223
637;1;2448.3695442202907
638;1;2065.911722978514
639;1;1608.0610691961438
640;1;3701.216914056093
641;1;1411.7701656552404
642;1;3095.5074280611593
643;1;1486.954044338746
644;1;1656.8853598308822
645;1;5510.639562717548
646;1;3070.5841935013577
647;1;2026.9979297650939
648;1;1365.9677724017276
649;1;4904.955719570645
650;1;2367.088308002114
651;1;1957.0768597488748
652;1;4626.048783099156
653;1;1586.807324184936
654;1;2567.729161882893
655;1;3318.973721593498
656;1;5724.579825688408
657;1;3709.721518779728
658;1;2804.761732546061
659;1;2092.1915076631494
660;1;2301.166093525049
661;1;4342.472501959069
662;1;960.5687879284894
663;1;3089.890295773878
664;1;3285.1476928544093
665;1;3415.8650638747654
666;1;1532.281057623968
667;1;2435.9267649846006
668;1;2927.832326007326
669;1;2030.500395003007
670;1;882.0679924553059
671;1;3383.2262023217245
672;1;1229.9309956627121
673;1;2235.1628473930714
674;1;3388.0933947478725
675;1;5529.057832631714
676;1;2169.478606053979
677;1;1397.3945528766424
678;1;1385.4151536274671
679;1;3984.9089985056403
680;0;2076.7492819783865
681;0;4798.421202139486
682;0;3091.062051008693
683;0;830.030802944982
684;0;4570.039610099685
685;1;609.2444941045687
686;1;1702.4966796056349
687;1;2794.0233480035718
688;1;2192.8945496874603
689;1;1595.0377658411242
690;0;2296.022830900443
691;0;1538.2173846882802
692;0;5869.4191095803035
693;0;4613.459337014561
694;0;5515.848255517285
695;0;5228.897106500464
696;0;4392.402423778543
697;0;5123.08018561041
698;0;4158.818508191643
699;1;1921.5084085069159
700;0;7676.158066808813
701;1;2507.6777572758915
702;1;1405.9311692453484
703;0;4524.641000127567
704;1;1253.0270315091211
705;1;3700.4377476172253
706;1;1566.4754050261513
707;1;736.994273595393
708;1;1405.3611744391594
709;1;4554.435167568749
710;1;8815.838242396077
711;1;7126.914667960564
712;1;1991.604427951816
713;0;4977.731411623203
714;1;13215.60911194941
715;1;12569.203283946568
716;1;6363.786342554627
717;0;5060.837719370182
718;1;4282.5827629253
719;1;7185.700433728792
720;1;6513.842392433437
721;0;4913.858399850564
722;0;5846.991514952709
723;0;4485.348622728847
724;0;3960.753698084668
725;1;4469.85425254679
726;1;2564.297017658958
727;1;3997.512204089443
728;1;3833.7196526524885
729;1;3672.253046124688
730;1;3032.244789787327
731;1;5212.810535235908
732;1;3044.1915299874254
733;1;4543.151786853279
734;1;4316.002634264574
735;1;4328.1464836987225
736;1;5220.1820417145045
737;1;3799.248036374902
738;1;3617.2877644743317
739;1;2280.9299710240007
740;1;4399.934835438194
741;1;4929.348329324075
742;1;4563.9359753430645
743;1;3416.8660233630385
744;1;4729.79830335502
745;1;3250.4834545222607
746;1;6220.309327447014
747;1;9411.690200554007
748;1;5460.821571629034
749;1;2507.33752164088
750;1;4505.539896670493
751;1;3891.499019098646
752;1;1717.20861489257
