ID;value;SSIM
301;0;0.6783597411055369
302;0;0.6353198626343779
303;0;0.8447926171958394
304;0;0.8516763216991314
305;0;0.646413137084179
306;0;0.8071530225866631
307;1;0.9108456838442597
308;1;0.9417664679108406
309;0;0.8265410848796857
310;1;0.45446823823145205
311;1;0.3991758115963625
312;1;0.45694372699827207
313;1;0.4732750628196462
314;1;0.5726166100695443
315;0;0.6107622310164481
316;1;0.641865497776901
317;1;0.6524590513168155
318;1;0.49355430664085165
319;0;0.5653208158762811
320;0;0.853446554152815
321;0;0.6053330089229153
322;0;0.54014062683338
323;0;0.5759594194927334
324;0;0.45505952657660065
325;0;0.4407573974820823
326;0;0.6028559276519282
327;0;0.7102160671469853
328;0;0.5987784705956136
329;0;0.6275542662142036
330;1;0.6838974477891376
331;0;0.5791266443327237
332;1;0.5473875779938675
333;0;0.5103749528114939
334;0;0.631498846320609
335;0;0.6074788124846044
336;0;0.6052657904591615
337;0;0.5726795946791071
338;0;0.6472301947026323
339;0;0.5348800831205538
340;0;0.5503931079629741
341;1;0.6534091516826859
342;1;0.5795316323603784
343;1;0.5935797141074619
344;0;0.625755379131411
345;0;0.9723372757567851
346;0;0.440083705359221
347;0;0.6261476649950041
348;0;0.4325828370125294
349;0;0.48718719815886974
350;0;0.6419518395447623
351;0;0.4007681845642196
352;0;0.3929158922461376
353;1;0.5176455642703047
354;0;0.4153566980950211
355;0;0.5864459352224
356;0;0.5458069058362364
357;0;0.4438354521056772
358;0;0.6682119939834924
359;0;0.5910531862662701
360;0;0.570504985371841
361;0;0.5162290225844174
362;1;0.5155332337760024
363;1;0.7324572299792876
364;1;0.506835071028314
365;1;0.44904652562183217
366;1;0.4903113030358391
367;1;0.4733505152263241
368;0;0.6186831067366662
369;1;0.5375451696668697
370;1;0.37878308157811336
371;1;0.451353627733207
372;1;0.5394175821362653
373;1;0.5797280225056564
374;1;0.5875235360239351
375;1;0.4714576317607003
376;1;0.5321852929606066
377;1;0.45266305206235335
378;1;0.5440271572037605
379;1;0.570843307455542
380;1;0.6040153123389616
381;1;0.6598024023057085
382;1;0.43858602899208665
383;1;0.5034660559654495
384;1;0.5389557494682534
385;1;0.6140497314974348
386;1;0.515313010985322
387;1;0.527469007312453
388;1;0.4411225400031162
389;1;0.45722733981015445
390;1;0.5565038508570981
391;1;0.5899881360468716
392;0;0.534995031960503
393;0;0.6079568988888079
394;0;0.4119544404309242
395;1;0.4415102726266683
396;1;0.42477444390137137
397;1;0.4677611368655918
398;1;0.45978313176838226
399;1;0.5073585125794285
400;1;0.550713600747119
401;1;0.5958712523597705
402;0;0.5686138629404962
403;0;0.583006672900673
404;0;0.7608771097991011
405;0;0.5268745035925911
406;0;0.47801681406762886
407;1;0.5738521684558893
408;1;0.5078556787096246
409;0;0.5291110497450093
410;1;0.46309435500287083
411;1;0.5991502649264753
412;1;0.5367135332931615
413;1;0.42226488436607523
414;1;0.595416350343284
415;1;0.4626135474404899
416;1;0.5206801416592239
417;1;0.5151662762379928
418;1;0.618975489594203
419;1;0.555684167288167
420;1;0.5957938818775017
421;1;0.4828954854463513
422;1;0.37340362979132996
423;1;0.4639063487858591
424;1;0.48686841428766503
425;1;0.4429580791782841
426;1;0.5759225437762526
427;1;0.6167582470381705
428;1;0.4701760354945239
429;0;0.5862922461423223
430;1;0.616741420235675
431;0;0.8230609281485954
432;1;0.5577340435590625
433;0;0.5985222763786916
